States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date
Manipur,50,0,30,100,100,100,100,80,50,0,0,109,87,109,0,98,60,240,15,25,30,35,28/04/2018
Odisha,26.25,0,23,53.5,64,56,69,48.5,35.25,34,0,100.5,75,93,95,87.25,35.25,190,17.25,16,15,15,28/04/2018
Puducherry,30,34,28,65,76,76,80,55,34,36,124,132,104,0,94,84,50,250,17,28,12,8,28/04/2018
Punjab,28,20,23,80,88,92,80,70,42,50,153,104,90,96,104,0,44,220,18,15,14,10,28/04/2018
Sikkim,55,25,30,65,84,90,83,70,43,47,0,0,0,0,0,0,50,300,18,20,20,20,28/04/2018
Tamil Nadu,34,30.2,31,61.4,70.4,73.2,74.6,56.5,33.4,36,137.8,119,94,0,95.6,83.6,50,220,17,25,14.8,12.2,28/04/2018
Telangana,28.17,27.83,29.33,75,70.67,76.5,71.17,69.5,39.5,39.83,105.5,95.5,66.5,82.67,84.17,64.33,38.33,186.67,13.17,20.5,12,10,28/04/2018
Uttar Pradesh,24.75,19,22,58.63,66.38,59.38,67.25,53,36.25,48,130.71,102.13,81,92.25,107.43,80.29,35.25,198.75,17.38,15.13,17.5,15,28/04/2018
Uttarakhand,23.5,21.5,24.25,67.25,72.75,77.75,73,73.75,37,42.5,134.75,93.5,83.75,83.75,105.75,0,37.25,207.5,18,15,20.5,20,28/04/2018
West Bengal,28.83,17.4,23.17,71,74,77.5,78.83,68,42.33,39.17,121.6,95.83,80.17,85.67,92.5,70.17,41.5,188.33,11.67,11.5,17.67,15.33,28/04/2018
Average Price,28.44,22.47,24.78,63.3,69.77,68.61,71.57,57.77,37.59,42.26,128.08,102.29,80.75,88.27,96.03,78.79,41.1,209.51,15.49,16.56,16.89,15.28,29/04/2018
Maximum Price,51,34,32,84,88,98,83,77,45,56,164,165,105,107,126,115,58,300,21,28,30,30,29/04/2018
Minimum Price,20,17,19,49,40,40,56,40,29,28,89,82,62,70,78,62,27,120,9,8,8,5,29/04/2018
Modal Price,25,19,23.5,55,70,75,80,50,36,42,115,100,80,85,95,76,38,200,17,15,15,10,29/04/2018
Andhra Pradesh,32,28.25,28.75,67.75,67.25,73.5,74.25,60,40.5,41.75,106.5,115.75,68.25,87,87,71.5,43.75,208.25,13.25,20.25,15,12,29/04/2018
Assam,30,26,30,58,70,70,72,60,36,56,0,90,75,90,100,0,45,200,12,18,18,25,29/04/2018
Bihar,34,21,24,60,75,75,75,55,36,42,0,104,78,107,110,94,32,150,18,19,17,14,29/04/2018
Chandigarh,28,23,25,50,63,55,62,46,40,44,128,100,76,87,88,0,29,220,16,14,16,16,29/04/2018
Chhattisgarh,26.2,25.4,25.2,60.2,63.6,58,70,51,36,41.2,125,98.2,75.4,88,92.6,88.8,40.6,214,9.8,14,16.2,7.4,29/04/2018
Delhi,34,20,23,70,83,80,83,69,33,42,164,120,94,102,109,88,51,239,17,23,20,20,29/04/2018
Gujarat,23.75,20.5,23,64.25,71.25,67.75,64.5,53.5,38,51,99.25,86,73.25,82.5,83.5,73.25,49.5,213.75,14.75,13.25,20,22.5,29/04/2018
Haryana,31.5,19.5,23.25,60,73.75,70.5,69.5,56.25,37.75,44.25,148.25,102,88.25,96.25,102.75,80.75,38.75,228.5,18.5,11,14.5,13,29/04/2018
Himachal Pradesh,31.5,0,23.5,62.5,70.5,66,73,57.5,38,29,158,121,92,93,0,0,34,180,17,16,17.5,17.5,29/04/2018
Madhya Pradesh,24.2,18.8,22.6,63.2,65.8,62.2,61.4,51.8,40,44,125.6,86,69.4,79.2,89.2,67.33,39,216.8,15.2,17.6,16.6,13,29/04/2018
Maharashtra,35.25,25.75,29.5,65,69,73.5,78,58.25,36.25,39.75,119.5,124.75,83.25,84.75,92,76.5,44,236.25,16.5,23,18.5,23.75,29/04/2018
Odisha,26,0,23.33,54,65,57,70,48.67,35,34,0,101.33,75.33,96,94.67,87,36.33,193.33,17.33,16,15,16.67,29/04/2018
Puducherry,30,34,28,65,76,76,80,55,34,36,124,132,104,0,94,84,50,250,17,28,12,10,29/04/2018
Punjab,31,19.5,23,77.5,81.5,83.5,80,70,42,48,156.5,101,89.5,91,103.5,0,45.5,215,18,12.5,14.5,11,29/04/2018
Tamil Nadu,34,30.2,31,61.4,70.4,73.2,74.6,56.5,33.4,36,137.8,119,94,0,95.6,83.6,50,220,17,25,14.8,12.2,29/04/2018
Uttar Pradesh,24.75,19,22,58.63,66.38,59.38,67.25,53,36.25,48,130.71,102.13,81,92.25,107.43,80.29,35.25,198.75,17.38,15.13,17.5,15,29/04/2018
Uttarakhand,23.5,21.5,24.25,67.25,72.75,77.75,73,73.75,37,42.5,134.75,93.5,83.75,83.75,105.75,0,37.25,207.5,18,15,20.5,20,29/04/2018
West Bengal,28.67,17.4,23.33,71,74,77.5,78.83,68.17,42.33,39.17,121.6,95.83,80.17,85.83,92.5,70.17,41.5,188.33,11.67,11.5,17.67,15.33,29/04/2018
Average Price,30.37,24.31,26.04,67.03,70.72,72.09,73.43,61.05,38.21,41.72,125.65,104.02,78.98,87.73,93.41,77.35,43.29,212.09,14.91,17.34,17.51,15.62,30/04/2018
Maximum Price,55,40,37,100,100,103,100,92,50,64,170,165,105,109,122,115,66,300,21,29,55,35,30/04/2018
Minimum Price,22,17,20,52,40,40,59,40,29,28,89,84,62,70,78,62,28,120,9,8,8,5,30/04/2018
Modal Price,28,19.5,23,75,70,75,80,70,36,40,110,100,85,85,87,88,39,220,17,15,20,10,30/04/2018
Andhra Pradesh,32,28.25,28.5,67.75,67.25,73.5,74.25,60,40,42.5,106.5,115.75,68.5,87,87.25,71.75,44.5,208.25,13.25,20.25,15,12,30/04/2018
Assam,30,26,30,58,70,70,72,60,36,56,0,90,75,90,100,0,45,200,12,18,18,25,30/04/2018
Bihar,34,21,24,60,75,75,75,55,36,42,0,104,78,107,110,94,32,150,18,19,17,14,30/04/2018
Chhattisgarh,26.2,25.4,25.2,60.2,63.6,58,70,51,36,41.2,125,98.2,75.4,88,92.6,88.8,40.6,214,9.8,14,16.2,7.4,30/04/2018
Delhi,34,20,23,70,83,80,83,69,33,42,164,120,94,102,109,88,51,239,17,23,20,20,30/04/2018
Goa,42,30,28,75,70,85,95,70,36,50,170,159,0,100,104,0,52,240,17,29,19,22,30/04/2018
Gujarat,23.75,20.5,23,64.25,71.25,67.75,64.5,53.5,38,51,99.25,86,73.25,82.5,83.5,73.25,49.5,213.75,14.75,13.25,20,22.5,30/04/2018
Haryana,31.5,19.5,23.25,60,73.75,70.5,69.5,56.25,37.75,44.25,148.25,102,88.25,96.25,102.75,80.75,38.75,228.5,18.5,11,14.5,15,30/04/2018
Himachal Pradesh,31.5,0,23.5,62.5,70.5,66,73,57.5,38,29,158,121,92,93,0,0,34,180,17,16,17.5,17.5,30/04/2018
Karnataka,45.33,32.33,33,74,69.67,85,78.33,77.5,36.67,36,142.67,132.67,84.33,83.5,85.67,74.67,54.67,232.33,10.67,19.33,17,13.33,30/04/2018
Madhya Pradesh,23.8,18.8,21.8,68.2,66,66.2,62.4,53,40.8,44.8,121.8,87.4,66,76.2,86.8,65,41.2,220.8,15,17,16,12.6,30/04/2018
Maharashtra,35.25,25.75,29.5,65.25,69.25,73.5,78,58.25,36.25,39.75,119.5,124.75,83.25,84.75,92,76.25,44.25,236.25,16.5,22.75,18.5,24.5,30/04/2018
Manipur,50,0,30,100,100,100,100,80,50,0,0,109,87,109,0,98,60,240,15,20,35,35,30/04/2018
Meghalaya,25,27,27,85,62,70,80,63,44,64,95,94,72,103,122,88,66,200,20,20,55,35,30/04/2018
Nagaland,25,40,30,80,75,60,75,60,45,50,0,0,0,0,0,0,50,200,10,20,50,30,30/04/2018
Odisha,26,0,23.33,54,65,57,70,48.67,34.67,34,0,101.33,75.33,96,94.67,87,36.67,193.33,17.33,16.67,15,16,30/04/2018
Puducherry,30,34,28,65,76,76,80,55,33,36,124,132,103,0,94,84,50,250,17,26,12,8,30/04/2018
Punjab,31,19.5,23,77.5,81.5,83.5,80,70,42,48,156.5,101,89.5,91,103.5,0,45.5,215,18,12.5,14.5,11,30/04/2018
Rajasthan,28,18,22,57.5,60.5,60.5,63.5,51,35,40,120.5,90,69,86.5,89,0,30,217.5,17,10,9,7.5,30/04/2018
Sikkim,55,25,30,65,84,90,83,70,43,47,0,0,0,0,0,0,50,300,18,20,20,20,30/04/2018
Tamil Nadu,34,30.2,31,62.4,70.4,73.2,74.6,56.5,33.4,36,137.2,119,94,0,95.6,83.8,50,220,17,24.6,14.8,13,30/04/2018
Telangana,28.17,27.83,29.33,75,70.67,76.5,71.17,69.5,39.5,39.83,105.5,95.5,66.5,82.67,84.17,64.33,38.33,186.67,13.17,20.5,12,10,30/04/2018
Uttarakhand,23.5,21.5,24.25,67.25,72.75,77.75,73,73.75,37,42.5,134.75,93.5,83.75,83.75,105.75,0,37.25,207.5,18,15,20.5,20,30/04/2018
West Bengal,28.67,17.4,23.33,71,74,77.5,78.83,68.17,42.33,39.17,121.6,95.83,80.17,85.83,92.5,70.17,41.5,188.33,11.67,11.5,17.67,15.33,30/04/2018
Average Price,28.93,22.98,25.33,64.64,69.64,69.1,71.49,59.12,38.23,42.07,123.35,101.72,78.74,87.07,94.77,77.35,41.46,209.46,15.09,16.71,16.96,16.03,1/5/2018
Maximum Price,55,35,50,85,84,98,83,77,47,64,164,165,129,115,126,115,66,300,21,28,55,45,1/5/2018
Minimum Price,20,17,20,48,40,40,55,40,29,28,89,80,62,70,78,62,26,120,9,8,8,5,1/5/2018
Modal Price,28,19,22,75,70,75,80,50,40,40,110,100,70,85,92.33,69.5,39,200,17,15,20,10,1/5/2018
Andaman and Nicobar,33,35,50,68,77,80,80,65,47,57,0,148,129,0,115,101,65,208,12,28,28,45,1/5/2018
Andhra Pradesh,32,28.25,28.5,68,67.5,73.75,74,60.33,40.25,42.5,106.75,115.75,68.75,87.5,87.5,72,44.25,208.25,13.25,20.25,15.25,11.75,1/5/2018
Assam,30,26,30,58,70,70,72,60,36,56,0,90,75,90,100,0,45,200,12,18,18,25,1/5/2018
Bihar,28,18,20,60,67,65,0,52,38,38,0,90,75,80,0,64,35,280,10,15,10,28,1/5/2018
Chandigarh,28,23,25,50,63,55,62,46,40,44,128,100,76,87,88,0,29,220,16,14,16,16,1/5/2018
Chhattisgarh,26.2,25.4,25.2,60.2,63.6,58,70,51,36,41.2,125,97.4,74.6,88,92.6,88.8,40.6,192.5,9.8,14,16.2,7.4,1/5/2018
Delhi,34,20,23,69,82,79,83,69,33,42,164,120,94,102,109,88,51,239,17,23,20,20,1/5/2018
Gujarat,23.75,20.5,23,64.25,71.25,67.75,64.5,53.5,37.75,51,99.25,86,73.25,82.5,83.5,73.25,49.5,213.75,14.75,13.25,20,22.5,1/5/2018
Haryana,31.5,19.5,23.25,59.25,72.75,70.5,69.5,56.25,37.75,44.25,148.25,102.5,88.25,97,102.75,81,38.75,228.5,18.5,11,14.5,15,1/5/2018
Himachal Pradesh,32.33,0,23,58.33,69.67,62.33,71,56.67,37.33,32.33,158,122.67,91.67,93.33,0,90,35.33,176.67,17.33,15.67,18.33,18.33,1/5/2018
Jammu and Kashmir,32,20,23,58,75,76,75,56,40,40,0,112,96,115,121,102,34,240,18,15,18,20,1/5/2018
Madhya Pradesh,23.8,18.8,21.8,68.2,66,66.2,62.4,53,40.8,44.8,121.8,87.4,66,76.2,86.8,65,41.2,220.8,15,17,16,12.6,1/5/2018
Maharashtra,35.25,25.75,29.5,65.5,69.25,74,78.25,58.25,36.5,39.75,119.5,125.25,83.25,85,92.5,76.25,44.25,236.25,16.5,23,18.5,24.75,1/5/2018
Meghalaya,25,27,27,85,62,70,80,63,44,64,95,94,72,103,122,88,66,200,20,20,55,35,1/5/2018
Odisha,26,0,23.33,53.33,64,57,70,48.67,34.33,34,0,101.33,75.33,96,94.67,87,36.67,193.33,17.33,17,15,16,1/5/2018
Puducherry,30,34,28,65,76,76,80,55,33,36,124,132,103,0,94,84,50,250,17,26,12,8,1/5/2018
Punjab,33,19,22,71.5,76.5,71.5,78.5,72,40,45,150,96,85,89,102.5,0,43.5,205,18,11,17.5,18.5,1/5/2018
Rajasthan,28.67,18,22,61.67,62,60.33,60.67,53,38.33,39.33,120.33,86.67,69.33,81,92.67,0,36.67,218.33,14.67,11.67,9.33,8.33,1/5/2018
Sikkim,55,25,30,65,84,90,83,70,43,47,0,0,0,0,0,0,50,300,18,20,20,20,1/5/2018
Tamil Nadu,35.67,30.67,30.67,62.33,70.67,73.67,76,56.5,34,36,138.33,119,95.33,0,96,84.67,52,220,17,24.33,14.67,12,1/5/2018
Telangana,28.17,27.83,29.33,75,70.67,76.5,71.17,69.5,39.5,39.83,105.5,95.5,66.5,82.67,84.17,64.33,38.33,186.67,13.17,20.5,12,10,1/5/2018
Uttar Pradesh,23,19,21.5,54.25,66.75,51,64.25,49.75,35,45,125.25,97.75,74.25,87.5,104,74,30.75,192.5,17.25,16.75,18,15,1/5/2018
Uttarakhand,23.5,21.5,24.25,67.25,72.75,77.75,73,73.75,37,42.5,134.75,93.5,83.75,83.75,105.75,0,37.25,207.5,18,15,20.5,20,1/5/2018
West Bengal,28.67,17.4,23.33,71,74,77.5,78.83,68.17,42.33,39.17,121.8,95.83,80.17,85.83,92.5,70.17,41.5,188.33,11.67,11.83,17.67,15.33,1/5/2018
Average Price,30.09,24.01,25.94,64.95,69.8,69.53,72.25,60.08,37.75,41.95,125.56,104.42,79.6,88.84,94.91,78.89,42.07,210.16,15.13,17.69,17.28,15.66,2/5/2018
Maximum Price,55,46,48,100,100,103,100,105,50,64,170,165,117,115,126,115,66,300,21,30,55,35,2/5/2018
Minimum Price,20,17,19,48,40,40,55,40,29,28,89,80,62,70,78,62,26,120,8,10,8,5,2/5/2018
Modal Price,26.5,19,22,75,70,75,70,70,40,40,120,100,70,85,91,81.5,38,200,17,15,15,10,2/5/2018
Andhra Pradesh,32,28.25,29,67.5,67.25,73,74.25,60,40,42.5,106.75,115.5,68.5,87.5,87.25,72,44.5,208,13.5,20.75,15.25,12,2/5/2018
Assam,30,26,30,58,70,70,72,60,36,56,0,90,75,90,100,0,45,200,12,18,18,25,2/5/2018
Bihar,28,18,20,60,67,65,0,52,38,38,0,90,75,80,0,64,35,280,10,15,10,28,2/5/2018
Chandigarh,28,23,25,50,63,55,62,46,40,44,128,100,76,87,88,0,29,220,16,14,16,16,2/5/2018
Chhattisgarh,26.2,25.4,25.2,60.2,63.6,58,70,51,36,41.2,125,97.4,74.6,88,92.6,88.8,40.6,192.5,9.8,14,16.2,8.4,2/5/2018
Delhi,34,20,23,69,81,79,83,69,33,42,164,120,94,102,109,88,51,239,17,23,20,20,2/5/2018
Goa,42,30,28,75,70,85,95,70,36,50,170,159,117,100,105,90,52,240,17,29,19,22,2/5/2018
Gujarat,23.75,20.5,23,64.25,71.25,67.75,64.5,53.5,37.75,51,99.25,86,73.25,82.5,83.5,73.25,49.5,213.75,14.75,13.25,20,22.5,2/5/2018
Haryana,31.5,19.5,23.25,59.25,72.75,70.5,69.5,56.25,37.75,44.25,148.25,102.5,88.25,97,102.75,81,38.75,228.5,18.5,11,14.5,15,2/5/2018
Himachal Pradesh,30.75,0,23,57.5,71,63.75,69.5,59.67,37.33,34.25,139,122.67,91.67,93.33,0,90,35.33,176.67,17.33,15.67,18.33,18.33,2/5/2018
Jammu and Kashmir,32,20,23,58,75,76,75,56,40,40,0,112,96,115,121,102,34,240,18,15,18,20,2/5/2018
Jharkhand,35,24,24,60,70,62,70,50,35,42,145,0,72,105,104,93,35,280,18,15,14,10,2/5/2018
Karnataka,44.67,31.33,37.67,74.33,66.67,85.33,77.67,78.67,34.67,36,131.33,118.67,80.67,86.33,87,78,51.33,227.33,11.67,23,18.33,14.67,2/5/2018
Kerala,39,37,36.33,71.67,76.67,77,81.67,70,36.67,43.67,137,151.67,89,93,91,81.33,52,165,10,27.67,18,14.33,2/5/2018
Madhya Pradesh,24,19,22.33,64.83,66,63.83,62.5,52,39.5,44.33,121.5,86.83,68.67,78,86.5,67.67,39.67,217.33,15.33,17.5,15.33,13,2/5/2018
Maharashtra,35.25,26,29.5,65.5,69.25,74,78.25,58.25,36.5,39.75,119.25,125.25,83.25,85,92.5,76.5,44.25,236.25,16.5,23,17.5,23,2/5/2018
Manipur,50,0,30,100,100,100,100,80,50,0,0,109,87,109,0,98,60,240,15,25,35,35,2/5/2018
Meghalaya,25,27,27,85,62,70,80,63,44,64,95,94,72,103,122,88,66,200,20,20,55,35,2/5/2018
Nagaland,25,40,30,80,75,60,75,60,45,50,0,0,0,0,0,0,50,200,10,20,50,30,2/5/2018
Odisha,26.25,0,23.25,53.25,63.25,56,69,48.5,34.75,34,0,100.5,75,93,95,87.25,35.5,190,17.25,17,15,13.75,2/5/2018
Puducherry,30,34,28,65,76,76,80,55,33,36,124,132,104,0,93,84,50,250,17,28,12,10,2/5/2018
Punjab,33,19,22,71.5,76.5,71.5,78.5,72,40,45,150,96,85,89,102.5,0,43.5,205,18,11,17.5,18.5,2/5/2018
Rajasthan,29,19,22.5,61.5,65.25,62.25,62,54.75,37.75,38.5,121.5,87.5,70.75,82.25,93.25,0,37,228.75,15,11.25,10,9,2/5/2018
Sikkim,55,25,30,65,84,90,83,70,43,47,0,0,0,0,0,0,50,300,18,20,20,20,2/5/2018
Tamil Nadu,34,30.2,31,61.8,70.4,72.8,74.6,56.5,33.4,36,137,119,94,0,95.6,83.6,49.4,220,17,24.2,14.8,13,2/5/2018
Telangana,28.17,27.83,29.33,75,70.67,76.5,71.17,69.5,39.5,39.83,105.5,95.5,66.5,82.67,84.17,64.33,38.33,186.67,13.17,20.5,12,10,2/5/2018
Tripura,31,0,29,63,0,74,78,67,44,40,0,109,70,99,0,0,53,178,19,18,21,14,2/5/2018
Uttar Pradesh,24.75,18.88,22,58.5,66.5,59.5,67.5,53,35.63,48,130.71,102.13,81,92.25,107.43,80.29,35.13,198.75,17.38,15.5,17.5,14.75,2/5/2018
Uttarakhand,23.5,21.5,24.25,67.25,72.75,77.75,73,73.75,37,42.5,134.75,93.5,83.75,83.75,105.75,0,37.25,207.5,18,15,20.5,20,2/5/2018
West Bengal,29.2,17.5,22.8,69.2,72.8,75,78.6,67.8,41.8,38,115.5,95,80.2,88.4,93,71.8,40.2,182,11.6,14,17.2,14.8,2/5/2018
Average Price,30.38,24.19,26.08,64.99,70.34,69.92,72.53,60.41,37.86,41.86,126.03,105.58,80.16,89.49,95.16,78.45,42.31,208.72,15.14,17.93,17.37,15.85,3/5/2018
Maximum Price,55,46,48,100,100,103,100,105,50,64,170,165,117,120,130,115,66,300,21,30,55,35,3/5/2018
Minimum Price,20,16,19,48,40,40,56,40,29,28,89,83,62,70,78,62,26,120,8,8,8,5,3/5/2018
Modal Price,28,19.5,24,75,70,75,70,70,39,40,120,100,77.5,85,95,75.67,38,200,18,20,20,10,3/5/2018
Andhra Pradesh,32,28.25,29.25,67.25,66.75,72.75,74.25,59.67,39.75,42.5,106.75,115.25,68.5,87.5,87,72,44.75,207.75,13.5,20.75,15.25,12,3/5/2018
Assam,30,26,28,57,70,70,75,60,36,56,0,90,75,90,100,0,45,200,12,18,20,25,3/5/2018
Bihar,30,18.33,21.67,63.33,70.33,76,71.5,55,38,40,0,95,74.33,90.33,99,75.67,36,194.33,14,14.33,14.33,18,3/5/2018
Chandigarh,28,23,25,50,63,55,62,46,40,44,128,100,76,87,88,0,29,220,16,14,16,16,3/5/2018
Chhattisgarh,26.2,25.4,25.2,60.2,63.6,58,70,51,36,41.2,125,97.4,74.6,88,92.6,88.8,40.6,192.5,9.8,14,16.2,8.4,3/5/2018
Delhi,34,20,23,69,81,79,83,69,33,42,164,120,94,102,110,88,51,239,18,23,20,20,3/5/2018
Goa,42,30,28,75,70,85,95,70,36,50,170,159,117,100,104,90,52,240,17,29,19,22,3/5/2018
Gujarat,23.75,20.5,23,64.25,71.25,67.75,64.5,53.5,37.75,51,99,86,73.25,82.5,83.5,73.25,49.5,213.75,14.75,13.25,20,22.5,3/5/2018
Haryana,31.5,19.5,23.25,59.25,72.75,70.5,69.5,56.25,37.75,44.25,148.25,102.5,88.25,97,102.75,81,38.75,228.5,18.5,11,14.5,15,3/5/2018
Himachal Pradesh,30.75,0,23,57.5,71,63.75,69.5,59.67,38.5,34.25,139,122,90,91.25,90,80,36.5,182.5,17.5,15.5,17.5,21.25,3/5/2018
Jammu and Kashmir,30.5,20.5,23.5,58,77.5,72,70.5,57,43.5,38.5,0,116,95.5,117.5,125.5,102,40.5,240,18,17.5,19,25,3/5/2018
Jharkhand,35,24,24,60,70,62,74,50,35,42,145,107,72,105,104,93,35,280,18,15,14,5,3/5/2018
Karnataka,44.25,31.75,34.75,74.33,71,85,78.25,81.75,36.25,36,136.25,126,81.75,84,85.5,74.5,51.75,239.25,11.25,22.5,17,13.75,3/5/2018
Kerala,38.75,34.5,37.25,72.75,76.5,77.25,78,67.75,36.75,43.25,137,151.67,90.25,93,90.25,77,53.5,173.33,10,28.25,18.5,15.75,3/5/2018
Madhya Pradesh,24,19,22.33,64.83,66,63.83,62.5,52,39.5,44.33,121.5,86.83,68.67,78,86.5,67.67,39.67,217.33,15.33,17.5,15.33,13,3/5/2018
Maharashtra,35.5,26.25,29.5,64.75,69.5,73,78,58.5,36.5,39.75,119.5,125,83.25,84.75,92.5,77,44.25,236.25,16.5,23.5,17.25,23,3/5/2018
Manipur,50,0,30,100,100,100,100,80,50,0,0,109,87,109,0,98,60,240,15,25,35,35,3/5/2018
Meghalaya,25,27,27,85,62,70,80,63,44,64,95,94,72,103,122,88,66,200,20,20,55,35,3/5/2018
Nagaland,25,40,30,80,75,60,75,60,45,50,0,0,0,0,0,0,50,200,10,20,50,30,3/5/2018
Odisha,26.25,0,23.25,53.25,63.25,56,69,48.5,34.75,34,0,100.5,75,93,95,87.25,35.5,190,17.25,17.25,15,13.75,3/5/2018
Puducherry,30,34,28,65,76,76,80,55,33,36,124,132,104,0,93,84,50,250,17,26,12,10,3/5/2018
Punjab,33,19,22,71.5,76.5,71.5,78.5,72,40,45,150,96,85,89,102.5,0,43.5,205,18,11,17.5,18.5,3/5/2018
Rajasthan,29,20.5,23,60.5,67,62,64,52,36,37,120.5,87.5,72,85.5,93.5,0,33,210,16.5,9.5,10.5,6,3/5/2018
Sikkim,55,25,30,65,84,90,83,70,43,47,0,0,0,0,0,0,50,300,18,20,20,20,3/5/2018
Tamil Nadu,34,30.2,31,61.4,70.4,72.8,74.6,56.5,33.4,36,137.2,119,94,0,95.6,83.6,49.4,220,17,24.2,14.6,12.2,3/5/2018
Telangana,28.17,27.83,29.33,75,70.67,76.5,71.17,69.5,39.5,39.83,105.5,95.5,66.5,82.67,84.17,64.33,38.33,186.67,13.17,20.5,12,10,3/5/2018
Tripura,31,0,29,63,0,74,78,67,44,40,0,109,70,99,0,0,53,178,19,18,21,14,3/5/2018
Uttar Pradesh,25,19.13,22,58.5,66.75,59,67.5,53,35.38,48,130.71,102.13,81,92.25,107.43,80.29,35.13,198.75,17.38,15.75,17.25,14.25,3/5/2018
Uttarakhand,23.5,21.5,24.25,67.25,72.75,77.75,73,73.75,37,42.5,134.75,93.5,83.75,83.75,105.75,0,37.25,207.5,18,15,20.5,20,3/5/2018
West Bengal,29.2,17.5,22.8,69.4,72.8,75,78.6,67.8,41.8,38,115.5,95.2,80.2,88.4,93,71.8,40.2,182,11.6,14.4,16.8,14.8,3/5/2018
Average Price,30.42,24.11,26.24,65.12,70.43,69.97,72.57,60.29,37.68,42.21,126.67,105.93,80.77,89.12,95.54,78.11,42.47,208.89,15.1,18.08,17.15,15.54,4/5/2018
Maximum Price,55,46,50,86,88,98,95,92,50,64,170,165,129,120,130,115,66,300,21,30,55,45,4/5/2018
Minimum Price,20,16,19,48,40,40,56,40,29,28,89,83,62,70,78,62,26,120,8,8,8,5,4/5/2018
Modal Price,28,20,23,75,70,75,80,70,40,40,115,100,77.5,85,95,69.5,38,200,18,17.5,20,10,4/5/2018
Andaman and Nicobar,55,35,50,68,77,80,80,65,47,57,0,148,129,0,115,101,65,208,12,28,28,45,4/5/2018
Andhra Pradesh,32,28.25,29.25,67.25,66.75,72.75,74.25,59.67,39.75,42.5,106.75,115.25,68.5,87.5,87,72,44.75,207.75,13.5,20.75,15.25,12,4/5/2018
Assam,30,26,28,57,70,70,75,60,36,56,0,90,75,90,100,0,45,200,12,18,20,25,4/5/2018
Bihar,30,18.33,21.67,63.33,70.33,76,71.5,55,38,40,0,95,74.33,90.33,99,75.67,36,194.33,14,14.33,14.33,18,4/5/2018
Chhattisgarh,26.2,25.4,25.2,60.2,63.6,58,70,51,36,41.2,125,97.4,74.6,88,92.6,88.8,40.6,192.5,9.8,14,16.2,8.4,4/5/2018
Delhi,34,20,23,69,81,79,83,69,33,42,164,120,94,102,110,88,51,239,18,23,20,21,4/5/2018
Goa,42,30,28,75,70,85,95,70,36,50,170,159,117,100,104,90,52,240,17,29,19,22,4/5/2018
Gujarat,23.75,20.5,23,64.25,71.25,67.75,64.5,53.5,37.75,51,99,86,73.25,82.5,83.5,73.25,49.5,213.75,14.75,13.25,20,22.5,4/5/2018
Haryana,31.5,19.5,23.25,59.25,72.75,70.5,69.5,56.25,37.75,44.25,148.25,102.5,88.25,97,102.75,81,38.75,228.5,18.5,11,14.5,13,4/5/2018
Himachal Pradesh,31,0,23,58.5,71,64.25,69.5,59.67,38.25,34.25,139,122,90,91,90,78.5,35.5,182.5,17.5,15.75,17,19.25,4/5/2018
Jammu and Kashmir,30.5,20.5,23.5,58,77.5,72,70.5,57,43.5,38.5,0,116,95.5,117.5,125.5,102,40.5,240,18,17.5,19,25,4/5/2018
Jharkhand,35,24,24,60,70,62,74,50,35,42,145,107,72,105,104,93,35,280,18,15,14,5,4/5/2018
Karnataka,44.25,31.75,34.75,74.33,71,76,78.25,74,36.25,36,136.25,126,81.75,84,85.5,74.5,51.75,239.25,11.25,22.5,17,13.75,4/5/2018
Kerala,38.75,34.5,37.25,72.75,76.5,77.25,78,67.75,36,43.25,137,151.67,90.25,93,91.5,77,52.25,176.25,10,28.75,18.5,15.5,4/5/2018
Madhya Pradesh,24,19,22.33,64.17,65.17,63.83,62.5,51.67,39.5,44.33,121.5,86.83,68.67,78,86.5,67.67,39.67,217.33,15.33,17.83,15.33,13.33,4/5/2018
Maharashtra,35.5,26.25,29.5,64.75,69.5,73,77.75,58.75,36.5,39.75,119.75,125,83,84.75,92.5,77.25,44.25,236.25,16.5,23.75,17.5,23,4/5/2018
Meghalaya,25,27,27,85,62,70,80,63,44,64,95,94,72,103,122,88,66,200,20,20,55,35,4/5/2018
Nagaland,25,40,30,80,75,60,75,60,45,50,0,0,0,0,0,0,50,200,10,20,50,30,4/5/2018
Odisha,26,0,23,52.33,62.33,56.33,68.33,48.67,34.67,34,0,99.67,76.33,93,96.67,87.33,35,186.67,17.33,17.67,15,13.33,4/5/2018
Puducherry,30,34,28,65,76,76,80,55,33,36,124,132,104,0,93,84,50,250,17,26,12,8,4/5/2018
Punjab,31.33,19.33,22.33,74.33,80.33,77.33,79,71.33,40.67,46.67,151,98.67,86.67,91.33,103,0,44,206.67,18,10.67,15.67,15.67,4/5/2018
Rajasthan,28.67,19.33,22.67,56,63,60,63.67,55,34.33,38.67,122,90,71,86.33,91,0,32.67,231.67,16.67,11.67,10.33,7,4/5/2018
