States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date
Telangana,27.33,26.83,28.5,94.67,93.33,97.67,80.83,72.17,42.33,39.83,116.83,104.25,67.67,82.67,84.17,64.33,41.67,182,13,25.33,40.33,17,2/1/2018
Tripura,31,0,31,78,0,80,76,69,47,40,0,117,70,103,0,0,53,178,19,19,54,51,2/1/2018
Uttar Pradesh,24.25,18.25,21.38,67.13,66,64.13,67.38,55.63,40.5,48.38,129.43,104.25,81,92.29,107.71,77,39.63,196.88,15.88,9.88,38.5,24.25,2/1/2018
Uttarakhand,23.25,21.5,23.5,77.25,91.75,92.5,82.75,86.25,42.5,42.75,134.75,93.5,83.75,83.75,105.75,0,41,206.25,18,21.25,50,41.75,2/1/2018
West Bengal,29.71,18.5,24,71.57,82.86,87.14,81.29,70.29,43.86,40,126.67,99.43,79.43,85.43,92.71,69.86,43.29,184.29,11.43,9.71,45.43,39.29,2/1/2018
Average Price,30.27,23.95,26.4,75.54,74.21,76.57,73.56,62.71,41.7,41.92,127.49,107.46,79.18,87.84,94.44,73.01,45.31,205.28,14.97,15.19,42.34,24.46,3/1/2018
Maximum Price,52,46,48,132,132,130,100,105,50,64,170,165,115,120,126,98,80,280,20,40,70,60,3/1/2018
Minimum Price,20,16,20,56,54,50,55,45,36,28,88,80,62,70,75,62,30,120,8,6,20,7,3/1/2018
Modal Price,25,18,24,70,70,70,80,50,42,40,127.5,100,70,85,90,70,40,220,17.5,10,40,20,3/1/2018
Andhra Pradesh,30,27.5,29.5,77.25,67,75.75,75,57.5,41.25,41.75,105.75,116.75,68.25,87,84.75,67.5,45.75,212,13.5,15.75,38,9.5,3/1/2018
Assam,30,26,29,70,70,70,75,65,44,56,0,90,75,90,100,0,47,200,12,12,46,55,3/1/2018
Bihar,29.33,18,21.67,71.67,69,75.67,69.33,55,41.33,39.33,0,93.33,73,89,96.5,72,36,194.33,14,10.33,44,21.67,3/1/2018
Chandigarh,28,23,25,68,64,64,65,55,42,44,128,105,75,85,92,0,37,220,16,10,42,28,3/1/2018
Chhattisgarh,24.8,26.2,27.2,74.8,69.4,62,72.6,56,41,41.8,124.8,102.2,70.2,89.2,93.8,79,43.6,183.8,11.6,12,43.6,16,3/1/2018
Delhi,34,19,22,81,82,85,84,74,40,42,164,120,88,102,109,78,53,231,17,16,50,30,3/1/2018
Goa,42,30,28,90,70,110,90,70,40,50,170,159,115,100,115,79,60,240,17,25,47,25,3/1/2018
Gujarat,23.75,20.75,24,70,71.75,68.75,66.75,56,40,50.5,102.75,88.5,73.25,80,81.5,69,50.5,213.75,14.75,12,35.5,28.75,3/1/2018
Haryana,31,21,25.25,69,74.75,72.25,65.75,57.5,40.75,43.75,135.75,99,78.25,89.25,99,71.25,42,230,18.5,13.25,42.75,30.75,3/1/2018
Himachal Pradesh,31,0,23.75,67.5,72,68.25,69.75,58.75,43.25,34.25,135,125.25,88,87,90,73,42,177.5,17.5,10.25,44,27.75,3/1/2018
Jammu and Kashmir,30.5,22.5,24.5,83,84.5,85,77.5,63,46,38.5,0,118.5,96,112.5,120,95,39,230,18,15,47.5,25,3/1/2018
Jharkhand,34,24,25,75,70,70,75,55,42,42,145,107,75,104,104,76,38,260,18,13,40,20,3/1/2018
